0^1
Brocantehuis Philipse^Antiek & Kunst
Brocantehuis Philipse^Interieur
Orbit Systems B.V.^Computerwinkel
Mezzo^Schoenen
2ndMas^Accessoires
2ndMas^Dameskleding
2ndMas^Schoenen
Zainab GSM Shop^Telefoonwinkel
Cigo Logger^Speciaalzaken
cadeaubazaar.nl^Kado & Speelgoed
Kaashandel De Wit^Levensmiddelen
Kaashandel De Wit^Speciaalzaken
Kaashandel De Wit^Kaasspecialist
Vitaminstore Nijmegen^Levensmiddelen
Vitaminstore Nijmegen^Overige
Vitaminstore Nijmegen^Persoonlijke verzorging
Vitaminstore Nijmegen^Natuurwinkel
Vitaminstore Nijmegen^Parfumerie & Drogisterij
Stippels^Accessoires
Stippels^Kado & Speelgoed
Stippels^Cadeau
LiLshop De Haarwinkel^Persoonlijke verzorging
LiLshop De Haarwinkel^Speciaalzaken
Senor Hernandez^Speciaalzaken
Senor Hernandez^Warenhuis
Nimco House of Shoes^Schoenen
Vodafone Winkel^Telefoonwinkel
Slagerij John Verstegen^Levensmiddelen
Slagerij John Verstegen^Slagerij
Hilst Koffie en Thee^Kado & Speelgoed
Hilst Koffie en Thee^Levensmiddelen
Hilst Koffie en Thee^Koffie & Thee
Leenders Thuis op Kantoor^Boek & Kantoor
Leenders Thuis op Kantoor^Interieur
Leenders Thuis op Kantoor^Speciaalzaken
Runnersworld Nijmegen^Hobby & Sport
Runnersworld Nijmegen^Schoenen
Runnersworld Nijmegen^Running
Intertoys^Hobby & Sport
Intertoys^Kado & Speelgoed
Intertoys^Muziek, Films & Games
Intertoys^Speelgoed
De Brocanterie^Antiek & Kunst
De Brocanterie^Interieur
Glashuis^Accessoires
Glashuis^Interieur
Harting Optiek en Bandages^Juwelier & Optiek
Harting Optiek en Bandages^Speciaalzaken
Harting Optiek en Bandages^Optiek
Erny van Reijmersdal Flagship Store^Dameskleding
Erny van Reijmersdal Flagship Store^Speciaalzaken
Cocoon & Cotton^Overige
Kleintje Kunst^Antiek & Kunst
Kleintje Kunst^Overige
Kleintje Kunst^Speciaalzaken
Schoenmakerij Tweehuysen^Speciaalzaken
Specsavers^Juwelier & Optiek
Specsavers^Optiek
Zagroos Grillroom Nijmegen^Levensmiddelen
Zagroos Grillroom Nijmegen^Overige
Pets Place^Dier & Plant
Pets Place^Speciaalzaken
Pets Place^Dier
Fred & Ginger kindermode^Kindermode
Ming & Mikis^Dameskleding
Eyes and More^Juwelier & Optiek
Eyes and More^Optiek
Chica Bebo^Dameskleding
Mango Nederland B.V.^Dameskleding
Lulay Wol en Breigaren^Hobby & Sport
Lulay Wol en Breigaren^Kado & Speelgoed
Lulay Wol en Breigaren^Speciaalzaken
Intersport Nijmegen^Dameskleding
Intersport Nijmegen^Herenmode
Intersport Nijmegen^Hobby & Sport
Intersport Nijmegen^Schoenen
Intersport Nijmegen^Running
Intersport Nijmegen^Sport
The Athlete's Foot Nijmegen^Overige
The Athlete's Foot Nijmegen^Schoenen
The Athlete's Foot Nijmegen^Speciaalzaken
The Athlete's Foot Nijmegen^Sport
Print Out^Speciaalzaken
Naaimachinecentrum Teunissen^Speciaalzaken
Naaimachinecentrum Teunissen^Hobby
DiDi Fashion^Dameskleding
DiDi Fashion^Baby & Kind
Used Products^Elektronica
Used Products^Overige
Used Products^Tweedehands
Oil & Vinegar^Kado & Speelgoed
Oil & Vinegar^Speciaalzaken
Oil & Vinegar^Cadeau
Modezaak Paradox^Dameskleding
Boekhandel Roelants � Van Broeckhuysenstraat^Boek & Kantoor
Boekhandel Roelants � Van Broeckhuysenstraat^Elektronica
Boekhandel Roelants � Marienburg^Boek & Kantoor
Boekhandel Roelants � Marienburg^Elektronica
Hobo Hi-Fi^Elektronica
Subba^Accessoires
Subba^Interieur
Subba^Kado & Speelgoed
Subba^Baby & Kind
Palau Junior Shoes^Kindermode
Palau Junior Shoes^Schoenen
SmartTrash^Accessoires
SmartTrash^Dameskleding
SmartTrash^Tweedehands
MexiMode^Dameskleding
MexiMode^Speciaalzaken
WE Store^Dameskleding
WE Store^Herenmode
WE Store^Baby & Kind
Termaat Motoren^Hobby & Sport
Termaat Motoren^Overige
Termaat Motoren^Speciaalzaken
GSM Hoek^Accessoires
GSM Hoek^Telefoonwinkel
T-Mobile Shop^Telefoonwinkel
Computerland Nijmegen^Computerwinkel
Expresso Store^Accessoires
Expresso Store^Dameskleding
Expresso Store^Woondecoratie
Premium Supply Store^Schoenen
Premium Supply Store^Speciaalzaken
Stichting Basta^Antiek & Kunst
Stichting Basta^Dameskleding
Sebastien F^Herenmode
Eye Wish � Plein 1944^Juwelier & Optiek
Eye Wish � Plein 1944^Optiek
Miss ETAM B.V.^Accessoires
Miss ETAM B.V.^Dameskleding
Chasin^Herenmode
Xando Nijmegen^Computerwinkel
Xando Nijmegen^Elektronica
Xando Nijmegen^Telefoonwinkel
Kroese Compact Discs B.V.^Elektronica
SANDWICH^Accessoires
SANDWICH^Dameskleding
MyCom^Computerwinkel
MyCom^Elektronica
Seasons (Womanswear)^Accessoires
Seasons (Womanswear)^Dameskleding
Pearle Opticiens^Juwelier & Optiek
Pearle Opticiens^Optiek
Douglas^Overige
Douglas^Persoonlijke verzorging
Douglas^Parfumerie & Drogisterij
Decoratiestore^Dier & Plant
Decoratiestore^Overige
Halfords^Speciaalzaken
Halfords^Fiets
Vero Moda � Broerstraat^Accessoires
Vero Moda � Broerstraat^Dameskleding
toeSjoes^Schoenen
Jan Jansen schoenen^Schoenen
Le Petit R�ve^Interieur
Le Petit R�ve^Boek & Tijdschriften
Le Petit R�ve^Cadeau
Le Petit R�ve^Woondecoratie
Maya Moda^Dameskleding
Aba-i^Accessoires
Aba-i^Interieur
Aba-i^Speciaalzaken
E-Plaza^Computerwinkel
E-Plaza^Kado & Speelgoed
E-Plaza^Speciaalzaken
SUPERSTAR^Accessoires
SUPERSTAR^Dameskleding
Jacco Otten^Dier & Plant
Jacco Otten^Interieur
Jacco Otten^Kado & Speelgoed
Versailles Dranken^Levensmiddelen
Versailles Dranken^Speciaalzaken
Hunkemoller � Grote Markt^Dameskleding
Hunkemoller � Grote Markt^Lingerie & Ondergoed
Hunkemoller � Burchtstraat^Dameskleding
Hunkemoller � Burchtstraat^Lingerie & Ondergoed
Tango Shoes^Schoenen
Suit Sensation^Herenmode
Suit Sensation^Speciaalzaken
Warhammer Nijmegen^Overige
Warhammer Nijmegen^Speciaalzaken
Schreeven Muziekinstrumenten B.V.^Elektronica
Schreeven Muziekinstrumenten B.V.^Hobby & Sport
Schreeven Muziekinstrumenten B.V.^Speciaalzaken
Kijkshop^Computerwinkel
Kijkshop^Elektronica
Kijkshop^Telefoonwinkel
Kijkshop^Warenhuis
Kijkshop^Hobby
Kijkshop^Huishoudelijk
America Today^Dameskleding
America Today^Herenmode
America Today^Schoenen
Kunsthandel-Lijstenmakerij H.A.J. Teunissen^Antiek & Kunst
Kunsthandel-Lijstenmakerij H.A.J. Teunissen^Interieur
Nonna-nini^Kindermode
Blue Moon Fashion^Accessoires
Blue Moon Fashion^Dameskleding
H&M Nijmegen � Molenstraat^Dameskleding
