0^1
Kado & Speelgoed^0.754;0.869;0.883;0.889;0.894;0.631;0.897;0.846;0.743;0.871;0.843;0.829;1.000;0.866;0.866;0.831;0.874;0.766;0.706;0.880;0.886;0.871;0.900;0.897;0.903;0.903;0.891;0.886;0.903;0.900;0.897;0.897;0.891;0.903;0.894;0.903;0.883;0.903;0.909;0.891;0.900;0.903;0.894;0.903;0.906;0.880;0.911;0.874;0.903;0.909;0.903;0.894;0.903;0.871
Kindermode^0.769;0.911;0.920;0.920;0.949;0.714;0.940;0.894;0.826;0.891;0.857;0.871;0.866;1.000;0.903;0.857;0.917;0.826;0.686;0.929;0.929;0.943;0.949;0.946;0.951;0.951;0.940;0.929;0.951;0.949;0.946;0.946;0.934;0.951;0.943;0.951;0.931;0.951;0.951;0.934;0.937;0.951;0.937;0.951;0.949;0.940;0.943;0.923;0.951;0.946;0.951;0.943;0.951;0.920
Levensmiddelen^0.769;0.900;0.914;0.914;0.937;0.674;0.934;0.889;0.780;0.886;0.857;0.866;0.866;0.903;1.000;0.874;0.929;0.809;0.697;0.923;0.934;0.914;0.954;0.940;0.946;0.946;0.934;0.923;0.951;0.949;0.940;0.951;0.946;0.946;0.937;0.951;0.926;0.946;0.951;0.929;0.937;0.946;0.949;0.951;0.954;0.929;0.937;0.917;0.946;0.940;0.951;0.937;0.946;0.920
Overige^0.729;0.860;0.869;0.869;0.891;0.634;0.894;0.849;0.740;0.863;0.817;0.826;0.831;0.857;0.874;1.000;0.877;0.780;0.731;0.877;0.883;0.863;0.897;0.906;0.900;0.900;0.889;0.877;0.900;0.903;0.894;0.900;0.894;0.900;0.891;0.900;0.891;0.900;0.906;0.883;0.891;0.900;0.897;0.900;0.897;0.883;0.891;0.871;0.900;0.894;0.900;0.897;0.900;0.874
Persoonlijke verzorging^0.783;0.914;0.929;0.929;0.963;0.689;0.949;0.903;0.794;0.900;0.866;0.880;0.874;0.917;0.929;0.877;1.000;0.829;0.689;0.937;0.937;0.923;0.957;0.954;0.960;0.960;0.949;0.937;0.960;0.957;0.954;0.966;0.983;0.960;0.951;0.960;0.940;0.960;0.960;0.943;0.946;0.960;0.946;0.960;0.957;0.937;0.951;0.931;0.960;0.954;0.960;0.951;0.960;0.929
Schoenen^0.720;0.811;0.826;0.826;0.854;0.660;0.846;0.800;0.754;0.820;0.763;0.777;0.766;0.826;0.809;0.780;0.829;1.000;0.614;0.834;0.834;0.831;0.854;0.851;0.857;0.857;0.846;0.834;0.857;0.854;0.857;0.851;0.840;0.857;0.866;0.857;0.854;0.857;0.857;0.840;0.843;0.857;0.843;0.857;0.854;0.840;0.849;0.829;0.857;0.851;0.857;0.849;0.857;0.826
Speciaalzaken^0.609;0.700;0.709;0.697;0.709;0.531;0.717;0.677;0.586;0.720;0.697;0.666;0.706;0.686;0.697;0.731;0.689;0.614;1.000;0.694;0.700;0.691;0.714;0.717;0.717;0.723;0.717;0.700;0.717;0.714;0.711;0.711;0.700;0.717;0.709;0.717;0.714;0.717;0.723;0.711;0.714;0.723;0.709;0.723;0.720;0.706;0.709;0.700;0.723;0.711;0.717;0.709;0.717;0.720
Telefoonwinkel^0.794;0.926;0.940;0.951;0.963;0.700;0.960;0.926;0.806;0.911;0.877;0.891;0.880;0.929;0.923;0.877;0.937;0.834;0.694;1.000;0.960;0.934;0.969;0.966;0.971;0.971;0.966;0.949;0.971;0.969;0.966;0.966;0.954;0.971;0.963;0.971;0.951;0.971;0.971;0.954;0.957;0.971;0.963;0.971;0.969;0.949;0.963;0.943;0.971;0.966;0.971;0.963;0.971;0.940
Warenhuis^0.800;0.926;0.940;0.946;0.969;0.700;0.960;0.926;0.806;0.911;0.883;0.891;0.886;0.929;0.934;0.883;0.937;0.834;0.700;0.960;1.000;0.940;0.969;0.966;0.971;0.971;0.971;0.949;0.977;0.974;0.966;0.966;0.954;0.971;0.963;0.971;0.951;0.977;0.971;0.954;0.969;0.971;0.980;0.971;0.969;0.954;0.969;0.943;0.971;0.971;0.971;0.969;0.971;0.951
Baby & Kind^0.786;0.911;0.926;0.926;0.949;0.749;0.946;0.900;0.837;0.897;0.869;0.877;0.871;0.943;0.914;0.863;0.923;0.831;0.691;0.934;0.940;1.000;0.954;0.951;0.957;0.957;0.946;0.934;0.963;0.954;0.957;0.951;0.940;0.957;0.949;0.957;0.943;0.957;0.957;0.940;0.943;0.957;0.949;0.957;0.954;0.946;0.949;0.929;0.957;0.951;0.957;0.949;0.957;0.926
Bakkerij^0.809;0.946;0.960;0.960;0.983;0.720;0.980;0.934;0.826;0.931;0.897;0.911;0.900;0.949;0.954;0.897;0.957;0.854;0.714;0.969;0.969;0.954;1.000;0.986;0.991;0.991;0.980;0.969;0.991;0.989;0.986;0.986;0.974;0.991;0.983;0.991;0.971;0.991;0.991;0.974;0.977;0.991;0.977;0.991;0.989;0.969;0.983;0.963;0.991;0.986;0.991;0.983;0.991;0.960
